stage,mode,N,positive_seed_rate,dynamic_range_pass,saturation_pass,spectral_excitation_pass,leakage_pass,coherence_V_mean,coherence_O_mean,rho_B_parametric,tau_B_parametric,rho_B_nonparam_V,rho_B_nonparam_O,residual_lowfreq_coherence,representation_pass,K_V,K_V_LCB,K_V_UCB,K_O,K_O_LCB,K_O_UCB,R_OOD,R_OOD_LCB,R_OOD_UCB,V_cross_ratio,V_cross_ratio_LCB,V_cross_ratio_UCB,O_cross_ratio,O_cross_ratio_LCB,O_cross_ratio_UCB
confirmatory,shared_boundary,200,1.0,True,True,True,True,0.995941515545859,0.9953622980352154,0.9649567895482802,28.03322562813637,0.9733528948261976,0.970664525382414,0.6693349117060067,True,0.996533060285032,0.9964269857443536,0.9966291078439168,0.9916730229376408,0.9914539045878068,0.9919130351411396,0.9401823147927568,0.9397875044730596,0.9405612059568424,0.0,0.0,0.0,0.0,0.0,0.0
confirmatory,separate_boundary,200,0.0,True,True,True,True,0.9960320174854485,0.9956049798100768,0.9223414329669464,12.370143456563994,0.9763308623119916,0.9633491555369584,0.0129640618317843,False,1.0243556003430857e-12,1.0227396152195925e-12,1.0260226973590749e-12,4.867172775924189e-12,4.861141544854064e-12,4.873084713530318e-12,0.9484074730131048,0.947999460268909,0.9488026239090188,0.0,0.0,0.0,0.0,0.0,0.0
confirmatory,common_driver,200,0.0,True,True,True,True,0.984405194121694,0.968775933082116,0.9000000000000001,9.491221581029915,0.9894840756210472,0.999,0.0072644953241203,False,2.2478073846698972e-11,2.2417900244486867e-11,2.25470086767654e-11,4.8653355233518877e-11,4.8346621039918606e-11,4.897686661786693e-11,1.0049445087367967,1.0048258946257342,1.0050743854103676,0.0,0.0,0.0,0.0,0.0,0.0
confirmatory,viability_only,200,0.0,True,True,True,True,0.996271586513331,0.0054967618953651,0.9652059958314164,28.23763293151576,0.9734384548692088,0.999,0.0011825962577737,False,0.9966420637561874,0.9965505732766377,0.996737182666338,3.1203807704383017e-10,3.017659302717579e-10,3.2230566508750777e-10,0.997360426123732,0.997042610617183,0.9976993996003252,0.0,0.0,0.0,0.0,0.0,0.0
confirmatory,observability_only,200,0.0,True,True,True,True,0.0094855259214691,0.9955950317071864,0.964854829296906,27.95042997385231,0.9980175212966648,0.9654660569116816,0.0080542347057895,False,3.047331526007113e-10,2.9478242588587553e-10,3.1407364756153024e-10,0.9916750770616054,0.9914531489658276,0.9918975785796004,1.0086703824790952,1.0084593669193254,1.008897562489195,0.0,0.0,0.0,0.0,0.0,0.0
confirmatory,null,200,0.0,True,True,True,True,0.0031994731109472,0.0034565080267316,0.9657578623752624,28.70088081340398,0.9924213260276638,0.9926840955392908,0.0046560857393265,False,3.0654450811073984e-10,2.9763646618163887e-10,3.1626513508076217e-10,3.2531026372684127e-10,3.1589360963146796e-10,3.34838996696174e-10,1.0000249897501148,0.9999839589543716,1.000067934786666,0.0,0.0,0.0,0.0,0.0,0.0
confirmatory,adversarial_mimic,200,0.0,True,True,True,True,0.9960741304163112,0.995606237363123,0.9649540099937912,28.030962135798607,0.96814613152031,0.968720319642628,0.0236362677523381,False,1.023512941067395e-12,1.0217487828034778e-12,1.0252799997889638e-12,2.521434172564341e-12,2.5183602009315466e-12,2.5246091467368003e-12,0.9610117933058164,0.9606281845049712,0.9613727240601652,0.0,0.0,0.0,0.0,0.0,0.0
