stage,mode,N,positive_seed_rate,dynamic_range_pass,saturation_pass,spectral_excitation_pass,leakage_pass,coherence_V_mean,coherence_O_mean,rho_B_parametric,tau_B_parametric,rho_B_nonparam_V,rho_B_nonparam_O,residual_lowfreq_coherence,representation_pass,K_V,K_V_LCB,K_V_UCB,K_O,K_O_LCB,K_O_UCB,R_OOD,R_OOD_LCB,R_OOD_UCB,V_cross_ratio,V_cross_ratio_LCB,V_cross_ratio_UCB,O_cross_ratio,O_cross_ratio_LCB,O_cross_ratio_UCB
pilot,shared_boundary,30,1.0,True,True,True,True,0.9961239612574183,0.9956988781446799,0.9652278887298064,28.25573020496321,0.9573678544736615,0.95974229310065,0.6780691973186976,True,0.9965913837222301,0.9963176792215602,0.9968545477908884,0.9912560446941237,0.9906398400527759,0.9919078747824632,0.9397373809931143,0.9388549465207917,0.9406446274576048,0.0,0.0,0.0,0.0,0.0,0.0
pilot,separate_boundary,30,0.0,True,True,True,True,0.9951430352015671,0.9960449015652938,0.9220815247179758,12.327167300417939,0.9784717293483499,0.9733129315768417,0.024656618312209767,False,1.020909283037478e-12,1.0162242343921452e-12,1.0258390433411553e-12,4.866510897964341e-12,4.851977523460486e-12,4.881317294813669e-12,0.9472112756472453,0.9458437347745388,0.9485567617286349,0.0,0.0,0.0,0.0,0.0,0.0
pilot,common_driver,30,0.0,True,True,True,True,0.9850833361713609,0.9742114669770353,0.9000000000000001,9.491221581029915,0.999,0.999,0.04374195252776606,False,2.24885406593008e-11,2.2305907676489767e-11,2.2668214157602522e-11,4.852754124466211e-11,4.802493421459294e-11,4.9046719278559676e-11,1.00496523489858,1.004615745047387,1.0053272623778986,0.0,0.0,0.0,0.0,0.0,0.0
pilot,viability_only,30,0.0,True,True,True,True,0.9954237311182587,0.040532451974355864,0.96512757771285,28.172996795780954,0.9738535917616474,0.999,0.03380198389904301,False,0.9966078988489427,0.9963544022450253,0.9968560125969294,3.2584062485222866e-10,3.062679004850466e-10,3.4611788352068015e-10,0.997522026054126,0.9966192473293825,0.9984229914731387,0.0,0.0,0.0,0.0,0.0,0.0
pilot,observability_only,30,0.0,True,True,True,True,0.03712126320691649,0.9963120987101788,0.9651371811792286,28.18089683032007,0.9961212681525036,0.9759510497494402,0.030368473083269756,False,3.1894189141586554e-10,2.967148942286298e-10,3.436100372751956e-10,0.9919797625846233,0.9914585215406876,0.9924810296466487,1.00857806533636,1.007932163527542,1.00920874997293,0.0,0.0,0.0,0.0,0.0,0.0
pilot,null,30,0.0,True,True,True,True,0.042262841529588376,0.024444897482530616,0.9000000000608741,9.491221587122947,0.9978547565906504,0.9915741985288954,0.06813548530832238,False,3.040705354173667e-10,2.8272095868124106e-10,3.254980632250159e-10,3.285291039212268e-10,3.009544820760842e-10,3.572597237488928e-10,0.999923346741977,0.9998218388554153,1.0000201238354236,0.0,0.0,0.0,0.0,0.0,0.0
pilot,adversarial_mimic,30,0.0,True,True,True,True,0.9968348708199238,0.9957989735430773,0.9655674104850649,28.53933380606556,0.9827188925271011,0.978039329511657,0.05582981010704285,False,1.0201432291504867e-12,1.01674381876767e-12,1.0237904043049658e-12,2.5230928457631308e-12,2.5142699033864345e-12,2.5314632797387066e-12,0.9612037299990537,0.9600272695756384,0.9624304167925855,0.0,0.0,0.0,0.0,0.0,0.0
