stage,mode,factor,strength,N,beta_V,beta_V_LCB,beta_V_UCB,beta_O,beta_O_LCB,beta_O_UCB,K_V_08,K_O_08,R_lambda_OOD,R_lambda_OOD_UCB,R_CIC,R_CIC_UCB,R_kernel,monotonic_V_fraction,monotonic_O_fraction,raw_saturation_V,raw_saturation_O,parametric_pass,nonparametric_pass,kernel_pass,representation_pass,V_cross_ratio,O_cross_ratio,positive
pilot,shared_boundary,core,0,40,0.9981883587862551,0.9769943791891541,1.0199014096262744,1.0108100427314206,0.9899911615889391,1.0332645657513908,0.784342139882817,0.7914862023514011,0.8707434554064144,0.9191237147617656,0.5013660911627033,0.6522116773848221,1.0126607932286837,1.0,1.0,0.0,0.0,True,True,False,False,0.0,0.0,False
pilot,separate_boundary,core,0,40,0.9722817510538636,0.9433169295711585,0.9988016171270401,-0.00099265636888523,-0.010891205956596747,0.009667779232462545,0.7570166860827674,0.0031598340090916027,0.9150197410065395,0.966030344085994,0.9813176506210562,1.0,,1.0,0.6,0.0,0.0,False,False,False,False,0.0,0.0,False
pilot,common_driver,core,0,40,0.0012584736795996968,-0.009448709071868086,0.01285241800735432,-0.001919772471625509,-0.011275496859053508,0.007575038119032858,-0.00488463371124887,0.0012386116322022362,0.8912040726440583,0.9503307828269939,0.9580314121924149,1.0,,0.65,0.775,0.0,0.0,False,False,False,False,0.0,0.0,False
pilot,viability_only,core,0,40,0.9873812826719597,0.9657762136533183,1.0075601737545263,-7.019553176177261e-05,-0.01157711900481725,0.010410873397165609,0.7704968274559096,-0.0025978967749630552,0.9378826184339017,0.9786683696850026,0.9978364484594477,1.0,,1.0,0.625,0.0,0.0,False,False,False,False,0.0,0.0,False
pilot,observability_only,core,0,40,0.00040240533785897424,-0.008507615467982432,0.00901070592906471,0.9808166922090068,0.9607215159268241,1.002784301386196,-0.004024473489264681,0.7717385236623011,0.9196291893474555,0.9732394744143658,0.9729338851756046,1.0,,0.55,1.0,0.0,0.0,False,False,False,False,0.0,0.0,False
pilot,null,core,0,40,0.004580840670600532,-0.004692510980118926,0.01404897609803827,-0.003962648308641434,-0.014862841629769141,0.007258407720492023,-0.00038765035345565934,-0.003329489935821358,0.90681801557304,0.9530126215029805,0.9998561867197534,1.0,,0.65,0.55,0.0,0.0,False,False,False,False,0.0,0.0,False
pilot,adversarial_mimic,core,0,40,0.008500246478193026,0.001725486078892664,0.015152874963769882,-0.00377822070140848,-0.013537914990436425,0.004435428341201415,0.0017303410952177855,-0.0008915690896564362,0.8928365779072047,0.942486485798789,0.9955037741411603,1.0,,0.675,0.6,0.0,0.0,False,False,False,False,0.0,0.0,False
pilot,adversarial_clamp_mimic,core,0,40,1.049215162255598,0.9630224806042122,1.1265011853843006,1.0106032972027332,0.904316660928414,1.1268486664550612,0.8346063379157727,0.7921653593644766,1.0491392644634143,1.1661479167876379,0.9826721601278033,1.0,1.0365274254255246,1.0,1.0,0.0,0.0,False,True,False,False,0.0,0.0,False
