stage,mode,N,beta_V,beta_V_LCB,beta_O,beta_O_LCB,K_V_08,K_O_08,R_lambda_OOD,R_lambda_OOD_UCB,R_CIC,R_CIC_UCB,kernel_ratio,representation_pass,technical_pass,positive_probability
pilot,shared_boundary,40,1.0072690786830616,0.9788942044348764,1.0117854116883425,0.98368731381295,0.7872918066750542,0.7960767455878418,0.9206494294810256,0.9562298257749414,0.5203058656684103,0.6736165381838218,0.9999363227597954,False,True,0.952
pilot,separate_boundary,40,1.0027465340114423,0.9759082608473272,0.0012410849854246,-0.0093760657709231,0.7835315297204258,-0.0065589802239379,0.9258199755806278,0.9821988653804282,0.9942753231978446,1.0,,False,True,0.0
pilot,common_driver,40,0.0060094756955519,-0.0040972652388092,0.0065166602232501,-0.0028671612016233,-0.0015688781706541,0.001268579154463,0.9113009689431166,0.9487445126883296,0.9935447874726784,1.0,,False,True,0.0
pilot,viability_only,40,1.009391047592639,0.9798298431462082,0.0052712697200622,-0.0047019241536829,0.7850508625244818,0.0031494265446885,0.87905173177976,0.9492673789884832,0.9926735669373494,1.0,,False,True,0.0
pilot,observability_only,40,-0.0081146942819315,-0.0184759541174572,1.0066251224054767,0.9879384364291128,-0.0033521554339114,0.7862600293228195,0.8962831313562107,0.9560891069709546,0.973914975785603,1.0,,False,True,0.0
pilot,null,40,-5.245914259394066e-05,-0.0111817381157581,-0.0076976087615123,-0.0180288905646755,0.002192593033185,-0.0011426702420564,0.916848593539908,0.95463701629901,0.9995424571809752,1.0,,False,True,0.0
pilot,adversarial_mimic,40,-0.0070101826201138,-0.0181976692674775,0.0047143830570732,-0.005057065321908,-0.0037094814232272,0.0060493092982934,0.931256833182233,0.9796628354600913,0.9723324957191576,1.0,,False,True,0.0
pilot,adversarial_clamp_mimic,40,0.9523834487082716,0.8724902629541971,0.9588521508270546,0.8555506852341275,0.7495802408607508,0.7556376188551633,0.9406217853907168,1.020182345102572,0.9963651379338122,1.0,1.076493640494488,False,False,0.02
